Produto,Cômodo,Status,Valor Atual,Tem Mercado Livre,Cliques Detalhes,Cliques Mercado Livre,Score
"Mesa de jantar com 6 cadeiras","Sala","Disponível","R$ 499,00","Não","37","0","37"
"Smart TV LG 49"" UHD 4K","Sala","Disponível","R$ 1.099,00","Sim","20","6","32"
"Geladeira Electrolux inox","Cozinha","Disponível","R$ 1.590,00","Não","32","0","32"
"Cômoda 2,07m com gavetas e portas","Suíte","Disponível","R$ 1.299,00","Não","20","0","20"
"Guarda-roupa 3 portas e 3 gavetas","Dormitório 2","Disponível","R$ 1.699,00","Sim","12","3","18"
"Fogão Consul 4 bocas","Cozinha","Disponível","R$ 799,00","Sim","11","2","15"
"Criado-mudo 4 gavetas","Dormitório 2","Disponível","R$ 699,00","Sim","12","1","14"
"Cômoda 4 gavetas e 1 porta","Dormitório 2","Disponível","R$ 1.299,00","Sim","7","2","11"
"Teclado sem fio Logitech K400 Plus","Escritório","Disponível","R$ 99,00","Sim","6","2","10"
"Teclado gamer HyperX Alloy MKW100","Escritório","Disponível","R$ 149,00","Sim","6","1","8"
"Rack clássico com vidro","Sala","Disponível","R$ 1.199,00","Não","6","0","6"