produto;preco_atual;score_venda;probabilidade_venda;acao_recomendada;preco_sugerido;motivo
"Mesa de jantar com 6 cadeiras";"499";"87";"Alta";"Manter preco e reforcar divulgacao";"499";"Alta probabilidade de venda. Evite desconto agora para preservar margem."
"Geladeira Electrolux inox";"1590";"75";"Alta";"Manter preco e reforcar divulgacao";"1590";"Alta probabilidade de venda. Evite desconto agora para preservar margem."
"Smart TV LG 49"" UHD 4K";"1099";"74";"Alta";"Melhorar anuncio e testar pequeno desconto";"1044";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"Guarda-roupa 3 portas e 3 gavetas";"1699";"67";"Media";"Manter preco";"1699";"O interesse esta crescendo. Melhor aguardar antes de conceder desconto."
"Comoda 2,07m com gavetas e portas";"1299";"62";"Media";"Melhorar anuncio e testar pequeno desconto";"1234";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"Fogao Consul 4 bocas";"799";"60";"Media";"Melhorar anuncio e testar pequeno desconto";"759";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"Criado-mudo 4 gavetas";"699";"59";"Media";"Melhorar anuncio e testar pequeno desconto";"664";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"Teclado sem fio Logitech K400 Plus";"99";"58";"Media";"Melhorar anuncio e testar pequeno desconto";"94";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"Teclado gamer HyperX Alloy MKW100";"149";"56";"Media";"Melhorar anuncio e testar pequeno desconto";"142";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"Comoda 4 gavetas e 1 porta";"1299";"52";"Media";"Melhorar anuncio e testar pequeno desconto";"1234";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"Rack classico com vidro";"1199";"47";"Media";"Melhorar anuncio e testar pequeno desconto";"1139";"Interesse medio. Um ajuste leve pode acelerar a conversao."