produto;cliques_anterior;cliques_atual;variacao_cliques;variacao_percentual;tendencia
"Mesa de jantar com 6 cadeiras";"37";"39";"2";"5.41%";"Estável"
"Smart TV LG 49"" UHD 4K";"32";"32";"0";"0.00%";"Estável"
"Geladeira Electrolux inox";"32";"32";"0";"0.00%";"Estável"
"Cômoda 2,07m com gavetas e portas";"20";"20";"0";"0.00%";"Estável"
"Guarda-roupa 3 portas e 3 gavetas";"18";"18";"0";"0.00%";"Estável"
"Fogão Consul 4 bocas";"15";"15";"0";"0.00%";"Estável"
"Criado-mudo 4 gavetas";"14";"15";"1";"7.14%";"Estável"
"Cômoda 4 gavetas e 1 porta";"11";"11";"0";"0.00%";"Estável"
"Teclado sem fio Logitech K400 Plus";"10";"11";"1";"10.00%";"Crescendo"
"Teclado gamer HyperX Alloy MKW100";"8";"9";"1";"12.50%";"Crescendo"
"Rack clássico com vidro";"6";"6";"0";"0.00%";"Estável"